"","id","name","type","score2011","rank2011","score2009","rank2009","change","rankchange","nameWordCount","hasAcademy"
"59",1454,"Warren Park Junior Public School","Elementary",0.8544,59,0.809,89,0.0454,-30,5,FALSE
"60",1220,"Pringdale Gardens Junior Public School","Elementary",0.8487,60,0.8403,69,0.00839999999999996,-9,5,FALSE
"61",1217,"Peter Secor Junior Public School","Elementary",0.8483,61,0.8388,71,0.00950000000000006,-10,5,FALSE
"62",1156,"General Crerar Public School","Elementary",0.8465,62,0.8174,80,0.0291,-18,4,FALSE
"63",182,"Joyce Public School","Elementary",0.845,63,0.8424,65,0.00259999999999994,-2,3,FALSE
"64",1388,"Queen Victoria Junior Public School","Elementary",0.8428,64,0.8782,52,-0.0354,12,5,FALSE
"65",30,"Blaydon Public School","Elementary",0.8415,65,0.8448,62,-0.00329999999999997,3,3,FALSE
"66",1314,"First Nations Junior and Senior School of Toronto","Elementary",0.8415,66,0.913,33,-0.0715,33,8,FALSE
"67",1090,"West Glen Junior School","Elementary",0.8382,67,0.8784,51,-0.0402,16,4,FALSE
"68",1161,"Glen Ravine Junior Public School","Elementary",0.8371,68,0.8663,56,-0.0292,12,5,FALSE
"69",1163,"Grey Owl Junior Public School","Elementary",0.8343,69,0.8087,90,0.0256000000000001,-21,5,FALSE
"70",208,"O'Connor Public School","Elementary",0.8322,70,0.8283,73,0.00390000000000001,-3,3,FALSE
"71",1020,"Secord Elementary School","Elementary",0.8313,71,0.8404,68,-0.0091,3,3,FALSE
"72",1006,"Crescent Town Elementary School","Elementary",0.8309,72,0.8071,91,0.0237999999999999,-19,4,FALSE
"73",1137,"Corvette Junior Public School","Elementary",0.8298,73,0.81,88,0.0197999999999999,-15,4,FALSE
"74",1367,"Morse Street Junior Public School","Elementary",0.8295,74,0.8815,48,-0.0519999999999999,26,5,FALSE
"75",1357,"Lucy McCormick Senior School","Elementary",0.8284,75,0.8247,76,0.00370000000000004,-1,4,FALSE
"76",1452,"Silverthorn Junior Public School","Elementary",0.8283,76,0.844,63,-0.0156999999999999,13,4,FALSE
"77",1433,"Fairbank Memorial Community School","Elementary",0.8282,77,0.8126,85,0.0156000000000001,-8,4,FALSE
"78",1190,"Knob Hill Junior Public School","Elementary",0.8273,78,0.8578,58,-0.0305,20,5,FALSE
"79",1011,"George Webster Elementary School","Elementary",0.8257,79,0.8224,77,0.00329999999999997,2,4,FALSE
"80",94,"Downsview Public School","Elementary",0.825,80,0.7754,107,0.0496,-27,3,FALSE
"81",1283,"Carleton Village Junior and Senior Public School","Elementary",0.82,81,0.86,57,-0.04,24,7,FALSE
"82",1087,"Valleyfield Junior School","Elementary",0.8193,82,0.8407,67,-0.0214,15,3,FALSE
"83",1255,"Wexford Public School","Elementary",0.8189,83,0.7703,109,0.0486,-26,3,FALSE
"84",1282,"Bruce Junior Public School","Elementary",0.8187,84,0.7887,99,0.03,-15,4,FALSE
"85",1854,"Portage Trail Community Junior School","Elementary",0.818,85,0.8275,75,-0.00950000000000006,10,5,FALSE
"86",1384,"Parkdale Junior and Senior Public School","Elementary",0.8173,86,0.8275,74,-0.0102,12,6,FALSE
"87",1249,"Walter Perry Junior Public School","Elementary",0.8162,87,0.8211,78,-0.00490000000000002,9,5,FALSE
"88",1057,"Kingsview Village Junior School","Elementary",0.8156,88,0.8126,84,0.003,4,4,FALSE
"89",1426,"C R Marchant Middle School","Elementary",0.8107,89,0.8155,83,-0.00480000000000003,6,5,FALSE
"90",1263,"Woburn Junior Public School","Elementary",0.8105,90,0.7586,122,0.0518999999999999,-32,4,FALSE
"91",261,"Stilecroft Public School","Elementary",0.8105,91,0.7578,123,0.0527,-32,3,FALSE
"92",154,"Gulfstream Public School","Elementary",0.8101,92,0.7911,98,0.019,-6,3,FALSE
"93",1303,"Dundas Junior Public School","Elementary",0.8081,93,0.7556,125,0.0525,-32,4,FALSE
"94",90,"Daystrom Public School","Elementary",0.8059,94,0.7858,100,0.0200999999999999,-6,3,FALSE
"95",1440,"Harwood Public School","Elementary",0.8056,95,0.8101,87,-0.00450000000000006,8,3,FALSE
"96",152,"Grenoble Public School","Elementary",0.8026,96,0.7701,111,0.0325,-15,3,FALSE
"97",1084,"The Elms Junior Middle School","Elementary",0.8022,97,0.8412,66,-0.0389999999999999,31,5,FALSE
"98",1354,"Leslieville Junior Public School","Elementary",0.8,98,0.7683,112,0.0317000000000001,-14,4,FALSE
"99",1417,"William J McCordic School","Elementary",0.7997,99,0.8003,94,-0.000600000000000045,5,4,FALSE
"100",1419,"Winchester Junior and Senior Public School","Elementary",0.7978,100,0.7934,97,0.00439999999999996,3,6,FALSE
"101",1225,"Samuel Hearne Middle School","Elementary",0.7953,101,0.8046,92,-0.00929999999999997,9,4,FALSE
"102",1319,"General Mercer Junior Public School","Elementary",0.795,102,0.7569,124,0.0381,-22,5,FALSE
"103",91,"Derrydown Public School","Elementary",0.7921,103,0.7955,95,-0.00339999999999996,8,3,FALSE
"104",1165,"H A Halbert Junior Public School","Elementary",0.7916,104,0.7604,119,0.0312,-15,6,FALSE
"105",1434,"Fairbank Middle School","Elementary",0.7875,105,0.7527,126,0.0347999999999999,-21,3,FALSE
"106",1242,"Tecumseh Senior Public School","Elementary",0.781,106,0.8461,61,-0.0650999999999999,45,4,FALSE
"107",1157,"George B Little Public School","Elementary",0.7773,107,0.8203,79,-0.043,28,5,FALSE
"108",1259,"William Tredway Junior Public School","Elementary",0.7751,108,0.8039,93,-0.0287999999999999,15,5,FALSE
"109",1164,"Guildwood Junior Public School","Elementary",0.7735,109,0.7189,140,0.0546,-31,4,FALSE
"110",1302,"Duke of Connaught Junior and Senior Public School","Elementary",0.7702,110,0.7939,96,-0.0237000000000001,14,8,FALSE
"111",1139,"Danforth Gardens Public School","Elementary",0.77,111,0.8161,82,-0.0461,29,4,FALSE
"112",1394,"Rose Avenue Junior Public School","Elementary",0.7696,112,0.7838,102,-0.0142000000000001,10,5,FALSE
"113",1186,"John McCrae Senior Public School","Elementary",0.7647,113,0.778,104,-0.0133,9,5,FALSE
"114",1007,"D A Morrison Middle School","Elementary",0.7638,114,0.7134,141,0.0504,-27,5,FALSE
"115",1359,"Market Lane Junior and Senior Public School","Elementary",0.7617,115,0.8114,86,-0.0497,29,7,FALSE
"116",1214,"Oakridge Junior Public School","Elementary",0.7615,116,0.7586,121,0.0028999999999999,-5,4,FALSE
"117",1135,"Cliffside Public School","Elementary",0.7587,117,0.7668,115,-0.0081,2,3,FALSE
"118",1432,"F H Miller Junior Public School","Elementary",0.7574,118,0.7017,146,0.0557,-28,6,FALSE
"119",1115,"Bliss Carman Senior Public School","Elementary",0.7548,119,0.7368,133,0.018,-14,5,FALSE
"120",1223,"Robert Service Senior Public School","Elementary",0.7533,120,0.7651,116,-0.0118,4,5,FALSE
"121",212,"Elia Middle School","Elementary",0.7528,121,0.7375,132,0.0153,-11,3,FALSE
"122",1425,"Briar Hill Junior Public School","Elementary",0.7526,122,0.656,167,0.0966,-45,5,FALSE
"123",1016,"Parkside Elementary School","Elementary",0.7507,123,0.6846,153,0.0661,-30,3,FALSE
"124",1215,"Pauline Johnson Junior Public School","Elementary",0.7495,124,0.7196,139,0.0299,-15,5,FALSE
"125",1127,"Charles Gordon Senior Public School","Elementary",0.746,125,0.7242,136,0.0218,-11,5,FALSE
"126",1136,"Cornell Junior Public School","Elementary",0.7446,126,0.8173,81,-0.0727,45,4,FALSE
"127",213,"Pierre Laporte Middle School","Elementary",0.7412,127,0.7212,137,0.02,-10,4,FALSE
"128",1175,"Hunter's Glen Junior Public School","Elementary",0.7368,128,0.7672,114,-0.0304,14,5,FALSE
"129",1177,"Ionview Public School","Elementary",0.7324,129,0.6986,147,0.0338000000000001,-18,3,FALSE
"130",1063,"Melody Village Junior School","Elementary",0.7319,130,0.7489,127,-0.017,3,4,FALSE
"131",1273,"Beverley School","Elementary",0.7303,131,0.7806,103,-0.0503,28,2,FALSE
"132",1076,"Second Street Junior Middle School","Elementary",0.7278,132,0.6271,182,0.1007,-50,5,FALSE
"133",1180,"J G Workman Public School","Elementary",0.7259,133,0.7312,135,-0.00529999999999997,-2,5,FALSE
"134",1086,"Twentieth Street Junior School","Elementary",0.725,134,0.6942,149,0.0307999999999999,-15,4,FALSE
"135",1265,"Alexander Muir/Gladstone Ave Public School","Elementary",0.7229,135,0.7466,128,-0.0237000000000001,7,5,FALSE
"136",1393,"Roden Junior Public School","Elementary",0.7203,136,0.7701,110,-0.0498,26,4,FALSE
"137",1228,"Scarborough Village Public School","Elementary",0.72,137,0.6417,174,0.0782999999999999,-37,4,FALSE
"138",1041,"Elmlea Junior School","Elementary",0.7197,138,0.7201,138,-0.000399999999999956,0,3,FALSE
"139",135,"Humber Summit Middle School","Elementary",0.7191,139,0.7438,129,-0.0247000000000001,10,4,FALSE
"140",1286,"Charles G Fraser Junior Public School","Elementary",0.719,140,0.7101,142,0.00890000000000002,-2,6,FALSE
"141",1004,"Chester Elementary School","Elementary",0.7175,141,0.6729,157,0.0446,-16,3,FALSE
"142",1202,"Maryvale Public School","Elementary",0.7158,142,0.7428,130,-0.027,12,3,FALSE
"143",1171,"Heron Park Junior Public School","Elementary",0.7128,143,0.7425,131,-0.0297000000000001,12,5,FALSE
"144",1852,"North Kipling Junior Middle School","Elementary",0.7094,144,0.7759,106,-0.0665,38,5,FALSE
"145",1204,"McCowan Road Junior Public School","Elementary",0.7093,145,0.7776,105,-0.0682999999999999,40,5,FALSE
"146",1376,"Ogden Junior Public School","Elementary",0.7093,146,0.6968,148,0.0125000000000001,-2,4,FALSE
"147",1143,"Dorset Park Public School","Elementary",0.7088,147,0.7839,101,-0.0751000000000001,46,4,FALSE
"148",1406,"Sunny View Junior and Senior Public School","Elementary",0.7069,148,0.7711,108,-0.0642,40,7,FALSE
"149",1210,"Norman Cook Junior Public School","Elementary",0.7064,149,0.6863,152,0.0201,-3,5,FALSE
"150",130,"George Anderson Public School","Elementary",0.7062,150,0.7589,120,-0.0527,30,4,FALSE
"151",1187,"Joseph Brant Senior Public School","Elementary",0.7059,151,0.6595,165,0.0464,-14,5,FALSE
"152",1401,"Shirley Street Junior Public School","Elementary",0.7058,152,0.6806,154,0.0252,-2,5,FALSE
"153",1040,"Elmbank Junior Middle Academy","Elementary",0.7026,153,0.7606,118,-0.0580000000000001,35,4,TRUE
"154",129,"Gateway Public School","Elementary",0.7019,154,0.6702,159,0.0317,-5,3,FALSE
"155",1025,"Westwood Middle School","Elementary",0.7017,155,0.628,181,0.0737,-26,3,FALSE
"156",1125,"Cedarbrook Junior Public School","Elementary",0.7012,156,0.6915,150,0.00970000000000004,6,4,FALSE
"157",1023,"Valley Park Middle School","Elementary",0.7,157,0.6782,156,0.0217999999999999,1,4,FALSE
"158",1349,"Kent Senior Public School","Elementary",0.6906,158,0.6344,177,0.0562,-19,4,FALSE
"159",1069,"Parkfield Junior School","Elementary",0.6857,159,0.6241,186,0.0616,-27,3,FALSE
"160",1443,"J R Wilcox Community School","Elementary",0.6847,160,0.647,171,0.0377,-11,5,FALSE
"161",1103,"Anson Park Public School","Elementary",0.6842,161,0.6458,172,0.0384,-11,4,FALSE
"162",1312,"Essex Junior and Senior Public School","Elementary",0.6824,162,0.561,220,0.1214,-58,6,FALSE
"163",1448,"Rawlinson Community School","Elementary",0.6815,163,0.667,162,0.0145,1,3,FALSE
"164",1256,"White Haven Junior Public School","Elementary",0.6808,164,0.6671,161,0.0136999999999999,3,5,FALSE
"165",1038,"Dixon Grove Junior Middle School","Elementary",0.68,165,0.6595,166,0.0205000000000001,-1,5,FALSE
"166",1356,"Lord Lansdowne Junior and Senior Public School","Elementary",0.6747,166,0.6425,173,0.0322,-7,7,FALSE
"167",1022,"Thorncliffe Park Public School","Elementary",0.6719,167,0.6391,175,0.0328000000000001,-8,4,FALSE
"168",187,"Lamberton Public School","Elementary",0.6696,168,0.7093,143,-0.0397000000000001,25,3,FALSE
"169",1212,"North Bendale Junior Public School","Elementary",0.668,169,0.6478,170,0.0202,-1,5,FALSE
"170",1456,"Weston Memorial Junior Public School","Elementary",0.6666,170,0.5362,230,0.1304,-60,5,FALSE
"171",1183,"John A Leslie Public School","Elementary",0.6654,171,0.6153,190,0.0501,-19,5,FALSE
"172",1151,"Fairglen Junior Public School","Elementary",0.6613,172,0.7069,144,-0.0456,28,4,FALSE
"173",1026,"William Burgess Elementary School","Elementary",0.6606,173,0.5949,201,0.0657,-28,4,FALSE
"174",1160,"Glamorgan Junior Public School","Elementary",0.6602,174,0.6865,151,-0.0263,23,4,FALSE
"175",1280,"Brock Junior Public School","Elementary",0.6544,175,0.6784,155,-0.024,20,4,FALSE
"176",1386,"Perth Avenue Junior Public School","Elementary",0.6533,176,0.6687,160,-0.0154,16,5,FALSE
"177",1184,"John Buchan Senior Public School","Elementary",0.6516,177,0.596,200,0.0556,-23,5,FALSE
"178",1134,"Clairlea Public School","Elementary",0.6501,178,0.6489,169,0.00119999999999998,9,3,FALSE
"179",240,"Roywood Public School","Elementary",0.6488,179,0.6074,195,0.0414,-16,3,FALSE
"180",1381,"Pape Avenue Junior Public School","Elementary",0.6486,180,0.7331,134,-0.0845,46,5,FALSE
"181",146,"Gracefield Public School","Elementary",0.6472,181,0.6283,180,0.0189,1,3,FALSE
"182",1099,"Alexander Stirling Public School","Elementary",0.6467,182,0.6637,164,-0.0169999999999999,18,4,FALSE
"183",1385,"Pauline Junior Public School","Elementary",0.6446,183,0.6321,178,0.0125,5,4,FALSE
"184",10,"Ancaster Public School","Elementary",0.6429,184,0.7609,117,-0.118,67,3,FALSE
"185",1301,"Downtown Alternative School","Elementary",0.6379,185,0.5394,229,0.0985,-44,3,FALSE
"186",1416,"Wilkinson Junior Public School","Elementary",0.6333,186,0.6104,194,0.0228999999999999,-8,4,FALSE
"187",274,"Victoria Village Public School","Elementary",0.6307,187,0.6108,193,0.0199,-6,4,FALSE
"188",1093,"Westmount Junior School","Elementary",0.6299,188,0.5923,204,0.0376,-16,3,FALSE
"189",145,"Gracedale Public School","Elementary",0.6285,189,0.6713,158,-0.0428000000000001,31,3,FALSE
"190",1012,"Gordon A Brown Middle School","Elementary",0.6235,190,0.6494,168,-0.0258999999999999,22,5,FALSE
"191",1120,"Buchanan Public School","Elementary",0.6228,191,0.6284,179,-0.00559999999999994,12,3,FALSE
"192",1155,"General Brock Public School","Elementary",0.6214,192,0.7043,145,-0.0829000000000001,47,4,FALSE
"193",1348,"Kensington Community School","Elementary",0.62,193,0.6033,196,0.0167,-3,3,FALSE
"194",254,"Sloane Public School","Elementary",0.6176,194,0.5093,243,0.1083,-49,3,FALSE
"195",1053,"James S Bell Junior Middle School","Elementary",0.6135,195,0.5441,227,0.0694,-32,6,FALSE
"196",1300,"Dovercourt Junior Public School","Elementary",0.6109,196,0.5783,210,0.0326,-14,4,FALSE
"197",1028,"Beaumonde Heights Junior Middle School","Elementary",0.6097,197,0.5935,203,0.0162,-6,5,FALSE
